date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:08:43	135977/135977	---M--	200	added ('OK')	image/jpeg	etag:%2261ef1f9a-21329%22	https://broank.bss.design/assets/img/5.jpg?h=2b786b1d1bcbf1458004a573a21eb9c3	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/5df13.jpg	(from https://broank.bss.design/Wetr.html)
20:08:43	133210/133210	---M--	200	added ('OK')	image/jpeg	etag:%2261ef1f9a-2085a%22	https://broank.bss.design/assets/img/7.jpg?h=f255102eaccb8226070e301771e9a751	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/7dcad.jpg	(from https://broank.bss.design/Wetr.html)
20:08:43	136755/136755	---M--	200	added ('OK')	image/jpeg	etag:%2261ef1f9a-21633%22	https://broank.bss.design/assets/img/6.jpg?h=2b786b1d1bcbf1458004a573a21eb9c3	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/6df13.jpg	(from https://broank.bss.design/Wetr.html)
20:08:44	192416/192416	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Jan%202022%2017:08:53%20GMT	https://raw.githubusercontent.com/Polyphian/repo/master/shortcuts/Wetr/Mods/assets/WetrModPreviewStarry1.png	C:/Users/dell%207280/Downloads/bna/bna/raw.githubusercontent.com/Polyphian/repo/master/shortcuts/Wetr/Mods/assets/WetrModPreviewStarry1.png	(from https://broank.bss.design/Wetr.html)
20:08:44	174/174	---M--	302	error ('Found')	text/html	date:Tue,%2025%20Jan%202022%2017:08:54%20GMT	https://github.com/Polyphian/repo/raw/master/shortcuts/Wetr/Mods/assets/WetrModPreviewStarry2.png	C:/Users/dell%207280/Downloads/bna/bna/github.com/Polyphian/repo/raw/master/shortcuts/Wetr/Mods/assets/WetrModPreviewStarry2.49.delayed	(from https://broank.bss.design/Wetr.html)
20:08:44	183888/183888	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Jan%202022%2017:08:54%20GMT	https://raw.githubusercontent.com/Polyphian/repo/master/shortcuts/Wetr/Mods/assets/WetrModPreviewStarry2.png	C:/Users/dell%207280/Downloads/bna/bna/raw.githubusercontent.com/Polyphian/repo/master/shortcuts/Wetr/Mods/assets/WetrModPreviewStarry2.png	(from https://broank.bss.design/Wetr.html)
20:08:45	42264/42264	---M--	200	added ('OK')	image/png	etag:%2261ef1f9a-a518%22	https://broank.bss.design/assets/img/WetrEdit.png?h=88aae72a678ebfe2aeffc16dc13b4fa0	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/WetrEdit68d0.png	(from https://broank.bss.design/Wetr.html)
20:08:46	153806/153806	---M--	200	added ('OK')	image/png	etag:%2261ef1f9a-258ce%22	https://broank.bss.design/assets/img/WetrAlbum0.png?h=e1b44c213b6a829e499ebe3ff4ec29e0	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/WetrAlbum0ec6b.png	(from https://broank.bss.design/Wetr.html)
20:08:46	163315/163315	---M--	200	added ('OK')	image/png	etag:%2261ef1f9a-27df3%22	https://broank.bss.design/assets/img/WetrAlbum.png?h=99ced3dc52d315d92a365ade70fd3bbc	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/WetrAlbum3b6b.png	(from https://broank.bss.design/Wetr.html)
20:08:47	234052/234052	---M--	200	added ('OK')	image/png	etag:%2261ef1f9a-39244%22	https://broank.bss.design/assets/img/WetrTemp.png?h=a4eabfe99b654052f6e47341e2c56c6d	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/WetrTemp582b.png	(from https://broank.bss.design/Wetr.html)
